horizon_observations,signal_threshold_abs_z,observations,avg_signed_convergence_bp,median_signed_convergence_bp,convergence_hit_rate,avg_gross_pair_return_bp,median_gross_pair_return_bp,avg_realized_convergence_ratio,avg_clipped_convergence_ratio
5,1.0,76,0.13588269813752976,-0.30198515461340847,0.4342105263157895,0.38792816052545287,-0.8845113748145953,-0.023538164735088362,0.1505222523900617
20,1.0,63,-1.2264475819779102,-1.3705438701296515,0.38095238095238093,-3.633202589665009,-3.861233851593815,-0.293484885390085,0.10587058401500796
60,1.0,23,-4.417056006624079,-3.810305828218226,0.043478260869565216,-13.149680407257025,-11.244391780393803,-1.0068880626987358,0.029117868492728537
