horizon_observations,signal_threshold_abs_z,events,avg_signed_convergence_bp,median_signed_convergence_bp,gross_hit_rate,avg_gross_pair_return_bp,median_gross_pair_return_bp,avg_net_pair_return_bp,median_net_pair_return_bp,net_positive_rate,avg_realized_convergence_ratio,avg_clipped_convergence_ratio,pair_transaction_cost_bp
5,1.0,3,-0.26043837967950384,-0.1500385530535624,0.3333333333333333,-0.7785878464733008,-0.4046896785197596,-8.7785878464733,-8.404689678519759,0.0,-0.03074065853466082,0.029514310132543183,8.0
20,1.0,1,1.7361187993683842,1.7361187993683842,1.0,5.2649915746895255,5.2649915746895255,-2.7350084253104745,-2.7350084253104745,0.0,0.2878462849608061,0.2878462849608061,8.0
60,1.0,1,-6.260170292349798,-6.260170292349798,0.0,-18.984728382259558,-18.984728382259558,-26.984728382259558,-26.984728382259558,0.0,-1.0379282584408767,0.0,8.0
