scenario,rates_bp,common_credit_bp,citi_idio_bp,jpm_idio_bp,citi_liquidity_bp,jpm_liquidity_bp,citi_pnl_usd,jpm_pnl_usd,pair_pnl_usd
Rates +50 bp,50.0,0.0,0.0,0.0,0.0,0.0,116939.60901025457,-116939.60901025457,0.0
Common credit +25 bp,0.0,25.0,0.0,0.0,0.0,0.0,58469.804505127286,-58469.804505127286,0.0
CITI idiosyncratic +20 bp,0.0,0.0,20.0,0.0,0.0,0.0,46775.84360410183,-0.0,46775.84360410183
JPM idiosyncratic +20 bp,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-46775.84360410183,-46775.84360410183
Risk-off,-25.0,40.0,15.0,10.0,10.0,5.0,93551.68720820366,-70163.76540615276,23387.9218020509
Liquidity widening,0.0,0.0,0.0,0.0,15.0,7.5,35081.88270307637,-17540.941351538186,17540.941351538186
